Iteration,Discriminator Loss,Generator Loss
0,1.398808,0.700208
10,0.916697,1.056487
20,0.642243,1.600726
30,0.691972,1.716841
40,0.592170,1.465689
50,0.756828,1.591568
60,0.738499,1.457581
70,0.960713,1.403078
80,0.781104,1.449046
90,0.976050,1.320936
100,0.739643,1.487317
110,0.784175,1.293709
120,0.742019,1.310731
130,0.811854,1.351727
140,0.786501,1.387356
150,0.785587,1.296340
160,0.796770,1.150171
170,0.765445,1.283480
180,0.743552,1.272188
190,0.830888,1.142493
200,0.863050,1.360180
210,0.860094,1.409030
220,0.795109,1.185717
230,0.886337,1.283339
240,0.872155,1.316144
250,0.943393,1.082340
260,0.963888,1.183113
270,1.006873,1.169614
280,1.076493,1.088835
290,1.100873,1.114308
300,0.972467,1.165191
310,0.980796,1.120410
320,1.120365,0.995540
330,1.074360,0.990932
340,1.150747,1.001217
350,1.026532,0.942399
360,1.136395,1.030906
370,0.990918,1.043436
380,1.081242,1.065709
390,1.066034,0.986790
400,0.965729,1.097192
410,1.030878,1.096251
420,1.115103,0.946943
430,1.051854,1.097589
440,1.075403,1.074676
450,1.083830,0.982533
460,1.109032,1.004556
470,1.099455,0.934830
480,1.137288,0.954361
490,1.003534,0.955756
500,1.172079,0.937047
510,1.165468,0.890946
520,1.152439,0.982303
530,1.197291,0.939295
540,1.144491,1.015678
550,1.214377,0.978018
560,1.148449,0.960233
570,1.160384,0.866278
580,1.055985,0.953271
590,1.125500,0.922616
600,1.134631,0.949746
610,1.188120,0.839582
620,1.226884,0.820227
630,1.243680,0.908748
640,1.221376,0.872068
650,1.291697,0.816193
660,1.255277,0.830499
670,1.170659,0.877413
680,1.168115,0.827009
690,1.255882,0.835670
700,1.240918,0.815254
710,1.267213,0.791148
720,1.225443,0.822967
730,1.257494,0.825778
740,1.189078,0.849608
750,1.295303,0.803092
760,1.250612,0.800634
770,1.194659,0.857363
780,1.272121,0.786417
790,1.238629,0.833745
800,1.287035,0.812403
810,1.238354,0.820972
820,1.281276,0.777473
830,1.298127,0.859596
840,1.290354,0.808889
850,1.304387,0.771612
860,1.257364,0.794476
870,1.313661,0.779766
880,1.297606,0.771119
890,1.322065,0.790189
900,1.298694,0.794338
910,1.263289,0.783389
920,1.273945,0.821916
930,1.276246,0.813947
940,1.239909,0.766086
950,1.280776,0.801688
960,1.275657,0.761114
970,1.287358,0.769405
980,1.279973,0.762867
990,1.294875,0.761082
1000,1.265108,0.762897
1010,1.268352,0.770983
1020,1.253254,0.824728
1030,1.259486,0.793322
1040,1.282866,0.784752
1050,1.296292,0.791602
1060,1.284088,0.791897
1070,1.273870,0.798919
1080,1.358592,0.832720
1090,1.269773,0.773741
1100,1.279679,0.861804
1110,1.238563,0.797907
1120,1.270838,0.838730
1130,1.306627,0.768516
1140,1.278817,0.867175
1150,1.265221,0.809917
1160,1.321968,0.785529
1170,1.244156,0.760101
1180,1.260730,0.822596
1190,1.278555,0.883955
1200,1.309670,0.758716
1210,1.294788,0.768928
1220,1.282688,0.745520
1230,1.313575,0.797074
1240,1.301882,0.806289
1250,1.341272,0.814627
1260,1.320921,0.772161
1270,1.394270,0.694786
1280,1.260288,0.767712
1290,1.289290,0.818624
1300,1.294333,0.762222
1310,1.322121,0.785285
1320,1.318988,0.733553
1330,1.248423,0.788463
1340,1.313066,0.781486
1350,1.293418,0.775686
1360,1.271239,0.750643
1370,1.259724,0.782552
1380,1.285519,0.742802
1390,1.285670,0.737666
1400,1.296947,0.761869
1410,1.317509,0.739296
1420,1.269499,0.776268
1430,1.308871,0.760828
1440,1.273040,0.770116
1450,1.295188,0.775689
1460,1.296356,0.809323
1470,1.308922,0.754704
1480,1.359122,0.730469
1490,1.312433,0.808808
1500,1.343421,0.743981
1510,1.324049,0.716737
1520,1.276769,0.756114
1530,1.284555,0.780395
1540,1.284594,0.780352
1550,1.285012,0.743871
1560,1.321686,0.725106
1570,1.292321,0.764117
1580,1.292007,0.729695
1590,1.317706,0.792761
1600,1.351026,0.783373
1610,1.275715,0.803709
1620,1.292787,0.764794
1630,1.333269,0.728729
1640,1.342372,0.802329
1650,1.322179,0.771748
1660,1.331774,0.722999
1670,1.284124,0.781240
1680,1.337296,0.728499
1690,1.297752,0.736650
1700,1.323553,0.763976
1710,1.266817,0.742790
1720,1.318438,0.734621
1730,1.303786,0.764311
1740,1.334065,0.739146
1750,1.315544,0.755208
1760,1.301033,0.775998
1770,1.348937,0.761077
1780,1.322537,0.789416
1790,1.283539,0.730601
1800,1.326039,0.743475
1810,1.317173,0.742287
1820,1.397413,0.772599
1830,1.300729,0.785861
1840,1.343772,0.705274
1850,1.307217,0.737429
1860,1.266168,0.719668
1870,1.347788,0.798076
1880,1.300530,0.773402
1890,1.313195,0.725820
1900,1.249360,0.845327
1910,1.355653,0.773250
1920,1.323053,0.747505
1930,1.304940,0.778309
1940,1.314317,0.755104
1950,1.326136,0.723222
1960,1.310460,0.758975
1970,1.302365,0.773908
1980,1.301478,0.709955
1990,1.308254,0.756423
2000,1.323722,0.769138
2010,1.292010,0.815410
2020,1.278676,0.793630
2030,1.351929,0.786681
2040,1.328422,0.758993
2050,1.334563,0.733791
2060,1.313183,0.744580
2070,1.326040,0.743036
2080,1.322486,0.725558
2090,1.291397,0.725776
2100,1.325592,0.741675
2110,1.303433,0.747297
2120,1.290957,0.729381
2130,1.294378,0.776470
2140,1.327382,0.773150
2150,1.310682,0.750117
2160,1.350598,0.718069
2170,1.328595,0.784016
2180,1.321264,0.751145
2190,1.320142,0.748012
2200,1.318833,0.780998
2210,1.293616,0.761390
2220,1.303261,0.785520
2230,1.307649,0.794798
2240,1.378818,0.736165
2250,1.255213,0.770623
2260,1.293302,0.750531
2270,1.340178,0.726788
2280,1.318196,0.780748
2290,1.344307,0.725420
2300,1.331701,0.735301
2310,1.318613,0.754524
2320,1.311320,0.747670
2330,1.295876,0.782464
2340,1.337373,0.724516
2350,1.372822,0.785785
2360,1.276907,0.738383
2370,1.307801,0.741464
2380,1.360252,0.747218
2390,1.291087,0.765093
2400,1.332393,0.783790
2410,1.353960,0.801690
2420,1.332299,0.763635
2430,1.334055,0.768695
2440,1.318731,0.743349
2450,1.298470,0.768283
2460,1.293815,0.757753
2470,1.361628,0.754366
2480,1.335922,0.716469
2490,1.311844,0.722370
2500,1.295881,0.744808
2510,1.304176,0.748061
2520,1.332992,0.782740
2530,1.331965,0.745377
2540,1.330269,0.760760
2550,1.336823,0.695845
2560,1.344906,0.719174
2570,1.360713,0.733305
2580,1.316359,0.763914
2590,1.378230,0.778236
2600,1.319083,0.729254
2610,1.350808,0.748999
2620,1.311281,0.764934
2630,1.331077,0.744668
2640,1.320164,0.726605
2650,1.370317,0.740204
2660,1.337213,0.740112
2670,1.331208,0.744709
2680,1.349061,0.729936
2690,1.285998,0.802107
2700,1.342514,0.769161
2710,1.322397,0.754484
2720,1.321425,0.757472
2730,1.350061,0.712565
2740,1.344095,0.791194
2750,1.340807,0.695226
2760,1.328737,0.755544
2770,1.298045,0.814400
2780,1.319033,0.741898
2790,1.323766,0.766498
2800,1.353978,0.720834
2810,1.345528,0.771256
2820,1.310380,0.761462
2830,1.362601,0.751480
2840,1.313167,0.753102
2850,1.318853,0.758228
2860,1.360866,0.750518
2870,1.298756,0.735540
2880,1.349154,0.766766
2890,1.313511,0.721342
2900,1.321476,0.767379
2910,1.373522,0.763489
2920,1.350315,0.722937
2930,1.309741,0.717671
2940,1.365469,0.755265
2950,1.258840,0.714142
2960,1.321959,0.755961
2970,1.352721,0.744730
2980,1.372247,0.735060
2990,1.311942,0.770823
3000,1.337096,0.734043
3010,1.341451,0.758949
3020,1.368011,0.757682
3030,1.371135,0.748733
3040,1.301310,0.748964
3050,1.342094,0.718123
3060,1.309913,0.719911
3070,1.326395,0.752879
3080,1.365721,0.723593
3090,1.339407,0.748185
3100,1.336736,0.765144
3110,1.352988,0.807188
3120,1.312973,0.783157
3130,1.306126,0.769346
3140,1.355723,0.701909
3150,1.325082,0.776122
3160,1.321072,0.738705
3170,1.378715,0.704870
3180,1.332775,0.756564
3190,1.372081,0.720969
3200,1.388066,0.774212
3210,1.311153,0.773220
3220,1.341056,0.716354
3230,1.331807,0.774171
3240,1.355614,0.693719
3250,1.347070,0.769237
3260,1.325497,0.716628
3270,1.356745,0.739442
3280,1.291148,0.814040
3290,1.332258,0.743489
3300,1.341759,0.735520
3310,1.330905,0.746330
3320,1.296479,0.746794
3330,1.305412,0.728127
3340,1.323230,0.738508
3350,1.350186,0.692420
3360,1.323871,0.777578
3370,1.299684,0.772399
3380,1.358565,0.769903
3390,1.361381,0.773926
3400,1.375964,0.709230
3410,1.319204,0.735040
3420,1.338177,0.759489
3430,1.347143,0.743966
3440,1.406490,0.776505
3450,1.340457,0.718694
3460,1.344408,0.781222
3470,1.320152,0.730951
3480,1.326306,0.755571
3490,1.332230,0.759476
3500,1.344193,0.745389
3510,1.334830,0.752808
3520,1.393767,0.773495
3530,1.288976,0.771284
3540,1.321534,0.694295
3550,1.332185,0.713078
3560,1.362783,0.702492
3570,1.290497,0.730662
3580,1.321451,0.764545
3590,1.375085,0.747994
3600,1.334916,0.754140
3610,1.345186,0.737608
3620,1.299282,0.738252
3630,1.296365,0.745684
3640,1.312732,0.798347
3650,1.333312,0.729540
3660,1.319036,0.795982
3670,1.318572,0.756434
3680,1.361351,0.756856
3690,1.315958,0.771963
3700,1.306874,0.756492
3710,1.337212,0.707330
3720,1.343408,0.755972
3730,1.343923,0.777093
3740,1.325333,0.702955
3750,1.350799,0.791889
3760,1.277488,0.778640
3770,1.336311,0.789165
3780,1.325382,0.741096
3790,1.303402,0.799907
3800,1.325136,0.806671
3810,1.354431,0.755335
3820,1.329120,0.742731
3830,1.372960,0.762591
3840,1.323793,0.733873
3850,1.357502,0.725048
3860,1.305513,0.727387
3870,1.386621,0.729973
3880,1.331837,0.814821
3890,1.260326,0.776942
3900,1.331429,0.735581
3910,1.287617,0.826030
3920,1.275565,0.738491
3930,1.317364,0.796666
3940,1.319410,0.784175
3950,1.324993,0.790058
3960,1.336197,0.748436
3970,1.325145,0.800600
3980,1.321952,0.723270
3990,1.300335,0.765578
4000,1.321383,0.817115
4010,1.299489,0.771116
4020,1.299626,0.778468
4030,1.273288,0.815475
4040,1.274166,0.771356
4050,1.324536,0.747909
4060,1.262952,0.836800
4070,1.306386,0.768203
4080,1.315121,0.760820
4090,1.318154,0.756315
4100,1.285014,0.756040
4110,1.329830,0.746514
4120,1.303900,0.758116
4130,1.293833,0.776134
4140,1.318209,0.725021
4150,1.354905,0.713103
4160,1.307833,0.806426
4170,1.355891,0.758908
4180,1.335423,0.782758
4190,1.327615,0.753990
4200,1.317718,0.771473
4210,1.358422,0.720928
4220,1.273605,0.754253
4230,1.336883,0.749402
4240,1.341734,0.740022
4250,1.323524,0.771299
4260,1.326836,0.771985
4270,1.375043,0.742095
4280,1.353656,0.754615
4290,1.379836,0.761529
4300,1.291306,0.745751
4310,1.336870,0.751291
4320,1.315232,0.756679
4330,1.340137,0.735799
4340,1.312036,0.722828
4350,1.332019,0.758324
4360,1.334406,0.779798
4370,1.320967,0.800932
4380,1.368509,0.747619
4390,1.333000,0.803683
4400,1.333713,0.746327
4410,1.409372,0.694239
4420,1.322378,0.682017
4430,1.294491,0.726303
4440,1.335484,0.783506
4450,1.330027,0.747563
4460,1.313342,0.734652
4470,1.321548,0.749431
4480,1.350329,0.786166
4490,1.329732,0.792711
4500,1.311293,0.786876
4510,1.342957,0.763775
4520,1.369012,0.775568
4530,1.283710,0.752011
4540,1.309793,0.766323
4550,1.352300,0.767715
4560,1.394787,0.721504
4570,1.327304,0.772024
4580,1.342120,0.754207
4590,1.299067,0.784622
4600,1.335185,0.710949
4610,1.345046,0.783164
4620,1.327362,0.716620
4630,1.319840,0.756613
4640,1.361432,0.755497
4650,1.291227,0.753871
4660,1.340769,0.736763
4670,1.298442,0.692959
4680,1.333529,0.786261
4690,1.319007,0.719719
4700,1.337383,0.740024
4710,1.342901,0.760469
4720,1.301781,0.726850
4730,1.337408,0.784738
4740,1.363802,0.703594
4750,1.327616,0.722175
4760,1.332676,0.778035
4770,1.327244,0.705517
4780,1.399377,0.718206
4790,1.340825,0.738184
4800,1.321241,0.714787
4810,1.378327,0.796856
4820,1.345118,0.717439
4830,1.348924,0.754694
4840,1.343412,0.733282
4850,1.331224,0.761723
4860,1.370237,0.694165
4870,1.337052,0.738497
4880,1.312826,0.775652
4890,1.318447,0.755720
4900,1.319480,0.721970
4910,1.346907,0.756829
4920,1.267193,0.770996
4930,1.369735,0.715569
4940,1.347687,0.721310
4950,1.318197,0.756389
4960,1.357918,0.727978
4970,1.369869,0.740487
4980,1.352327,0.709122
4990,1.275376,0.771579
